"year" "AL" "AK" "AZ" "AR" "CA" "CO" "CT" "FL" "GA" "HI" "ID" "IL" "IN" "IA" "KS" "KY" "ME" "MD" "MA" "MI" "MN" "MO" "MT" "NE" "NV" "NH" "NM" "NY" "NC" "ND" "OH" "OK" "OR" "PA" "RI" "SC" "SD" "TN" "TX" "UT" "VT" "VA" "WA" "WV" "WI" "WY"
1981 11.0526820494967 8.72761617832107 11.1720395021745 9.46598983484665 12.6479468255225 9.59021413041744 7.90728360942635 7.53955882930103 10.0998352810632 6.73340189183736 11.5066457890129 7.24351297466548 8.57866451350434 9.23600811872476 4.38202663467388 10.2095005816726 10.3034039617139 9.60925071111367 8.41094339157353 9.46985442460004 9.19095365817599 8.85280791762332 11.6814776576782 9.43428360346096 9.80211905814784 9.56317796268366 6.82437367004309 12.5085558882291 10.3297678470249 10.0655213643834 4.06044301054642 9.36939330183078 12.725360364563 8.83840674707681 0 9.48311183169221 10.9234353500206 11.0320954412396 9.39032586897259 8.78140190768238 9.25741477936211 8.24617155985756 13.7947587203104 9.34066663365176 10.0161910424492 9.08136999067922
1982 11.6278956594065 8.67760991282214 11.2027796275342 9.99966099598478 13.1712773434338 9.75550944976463 8.26281693767093 7.91132401896335 10.5498837384066 6.84800527457636 11.705007565632 7.16780918431644 8.40581460343285 9.16941420536354 4.21950770517611 10.4615020591046 10.3342954683161 9.54809749706027 7.87549929244521 9.44580767297922 9.26084335414929 9.75909741657673 11.6453825307122 9.44715011405421 9.60575514423085 9.4776156346503 6.71052310945243 12.4958687318791 10.9426682574348 10.1919318344325 4.02535169073515 9.99181889132609 13.0663452543621 9.85849018660539 3.58351893845611 10.1423469602903 10.945970309648 11.5339528321623 9.28154413098251 9.27893316344179 9.08805973726735 9.19319421314121 13.728722065225 9.36657459400682 10.139152384404 9.0918946167697
1983 11.6738361018585 8.73921611506174 11.9339686030417 10.4594394939182 13.3020731932368 9.88766300218916 8.28828304520769 7.74673290775362 10.6767620525745 6.78558764500793 11.8082110572612 7.25417784645652 8.38958706681109 9.17730051789798 4.06044301054642 10.4377269227111 10.3382201583249 9.82946419218734 7.97933889526233 9.46761478200654 9.33184978937338 9.80079015429779 11.7086895974607 9.5579644803945 10.6704426602408 9.56338874785922 6.83840520084734 12.5342102453613 11.0761244765522 10.1270310238717 7.26122509197192 10.1773622402567 13.0694013229899 9.4181672191785 3.46573590279973 10.3917300871019 10.9704887678275 11.5588543968586 9.36288977043647 9.59308259297708 9.26700421909372 9.45132384141872 13.7103011420014 9.36494809020262 10.1993609840142 9.40071276695985
1984 11.6327508580386 8.88668563906558 12.0057418922811 10.2551650299146 13.0182909207311 10.0278268267917 8.279189777195 7.70571282389443 10.6734337240657 6.75110146893676 11.8332392832354 7.29165620917446 8.42244285487043 9.168163293077 4.35670882668959 10.5100959716788 10.3477566203012 9.95764424348808 8.03851202097681 9.32197118814737 9.2240460190323 9.71534911042061 11.6614661524613 9.54945197953433 10.9785241046755 9.48074911575751 6.88653164253051 12.5425198818389 11.1048519579455 10.1127755575599 7.44307837434852 10.1029529764958 13.0957585877682 9.62291349154373 3.04452243772342 10.4093709837628 10.9976566515069 11.573907669905 9.28424117981572 9.58321341548369 9.20069399492438 9.42035815607147 13.6774167734398 9.38252741428954 10.1027891293648 9.50472493248764
1985 11.1835182124711 8.96392819372262 11.8922040117688 10.743393876989 12.7109244615845 10.1116798893971 7.9229859587112 7.84345640437612 10.2928910270969 6.7945865808765 11.6394788176054 7.25981961036319 8.40088406901585 9.24319470884713 4.53259949315326 10.3328970258878 10.2441652196399 9.67526864335514 7.91571319938212 9.25109836444835 9.22709915579114 10.3504784074728 11.5739641187107 9.61919971315236 10.7229589664296 9.37678657961185 7.19743535409659 12.5568844347205 10.6634986733496 10.0300761496357 7.51043055637801 10.6353505110987 12.9622697398012 9.22513045744882 -Inf 9.86104966983816 10.9279328929525 11.1318992787391 9.5912395261391 9.2729395137327 9.17315758084847 9.08624998674513 13.5985602886255 9.31036668604331 10.1884409054167 9.31982238259318
1986 10.9123210019575 9.04168500594604 11.9254323878674 10.288409759413 12.9786708202742 10.070906955078 8.2684753889826 7.70436116791031 10.0199808679719 6.70563909486 11.7515170781685 7.29776828253138 8.57262789830434 9.20562929224606 4.46590811865458 10.2597274018349 10.3549134290205 9.88313177227905 8.31752199628717 8.92625183503453 9.33158407926155 9.94496533198244 11.6388177537975 9.7715548812753 10.7766411119326 9.48470921536584 7.46049030582534 12.6455558540775 10.1784642524904 10.0982316293286 7.49609734517596 10.3361137687067 12.9619551599623 9.62727281152524 -Inf 9.48971301655682 11.000715550182 10.9264779030693 9.93319197524246 9.59940505871657 9.29743507882712 6.66057514983969 13.6229204596935 9.30373963623473 10.1371357364954 9.38462975707287
1987 11.2626034012755 9.11382947159534 11.5673378898088 10.1298259947469 12.4526865994257 9.84940088663236 8.18255926406867 7.72312009226633 10.4068050608118 6.75110146893676 11.3438438717545 7.01750614294126 8.57149196482362 9.22177474960185 4.53259949315326 10.3324087366806 10.2359517677598 9.72889604180408 8.07961802938984 8.51919119407891 9.10664513563742 9.62092568277892 11.44026874693 9.70069794710231 10.1779323982059 9.30155125202957 7.44483327389219 12.5756722056183 10.8807981222362 9.93566428423135 7.76004068088038 10.3326040809756 12.8197706922168 9.37500699353142 -Inf 10.0439449052314 10.9352297150983 11.2750108567523 10.0204702680217 9.09593911166621 9.24638296332311 9.07015834137632 13.497410514291 9.25674674479034 9.70655984335281 8.98707181284882
1988 10.9254887388324 9.17554186643349 11.2945828705971 10.2665321669825 12.3981258624059 9.79918203572681 8.13476078241865 7.67832635650689 9.96749468251042 6.72623340235875 11.1510656743428 6.50876913697168 8.42354163533478 8.88433318520273 4.77912349311153 10.1271509686972 10.1753450746409 9.52551600873689 7.69165682281055 8.73085190351923 8.85194967125395 9.6547056290419 11.3509122899101 9.54251768431451 9.97984656063488 9.35798421388875 6.94312242281943 12.4258384988397 10.3046433890562 9.87544809550488 7.56475701290573 9.95754951063466 12.7882296044444 8.89316082873538 -Inf 8.85609105525229 10.9072945339303 10.7664197008858 9.45336497888354 8.71980745147795 9.11316846022391 NA 13.4691804922115 9.22975076549601 9.63971730013066 9.00515952103614
1989 11.8292751659872 9.11624944857659 11.3165577207429 10.3789761120124 12.6801865659437 9.81356284500814 8.43533216493592 7.79852305362521 10.6120404532459 6.36475075685191 11.4879358082666 6.94505106372583 8.45467928602699 8.85495031650033 4.64439089914137 10.735200307935 10.4896339841018 9.82811724551135 8.34569287325387 8.9641840463529 9.05005424204284 9.3426835589639 11.5113642469033 9.39955478502731 9.87256431988262 9.5458836057793 7.79276172081653 12.4641971657396 11.1979955180253 9.89080749937875 7.21081845347222 10.1246291011797 12.890416187534 9.61700476065983 3.91202300542815 9.96627454063489 10.7748855155195 11.7252021855736 9.61806958173741 8.67573421954479 9.29899206957075 8.39412119382624 13.5227234771025 9.52024860318613 9.64173310209426 8.86756833320644
1990 11.5883297394181 9.2239473753824 11.2536105465178 10.5457624027223 12.4191254561342 9.60028566842631 8.68879078484722 7.50439155916124 10.7734411092019 6.71780469502369 11.4596723566645 7.31121838441963 8.43119947824926 9.11635930850529 4.92725368515721 10.4004373507665 10.6584351340015 10.082177523096 9.47231994707559 9.73707871420222 9.09549053029724 10.0346035303937 11.6215646000767 9.38084235196479 9.80079015429779 9.8815997527781 7.66715825531915 12.5886579968315 11.1695333410598 9.78689755492675 7.54274354536855 10.254285259302 12.9691702389879 10.3037726006028 4.63472898822964 10.4430755449698 10.6195208368828 11.5538754512992 9.833976689772 8.57338447106598 9.56092681857436 9.51936799844734 13.7210119487474 9.50829450569857 9.95008483791291 8.81060879571578
